Features.cspace,Features.orient,Features.pix_per_cell,Features.cell_per_block,Features.hog_channel,Features.extract_time,Features.spatial_feat,Features.hist_feat,Features.spatial_size,Features.hist_bins,classifier.best_params_,training_time,training_score
LUV,12,8,2,ALL,4.110123157501221,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",222.21321415901184,0.51
LUV,12,16,2,0,1.6109209060668945,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.98449993133545,0.475
LUV,12,16,2,0,1.9941461086273193,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.562358856201172,0.48
LUV,12,16,2,0,1.606956958770752,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",77.57718801498413,0.51
LUV,12,16,2,0,1.6041200160980225,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",79.1221878528595,0.485
LUV,12,16,2,1,1.6084342002868652,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",30.857864141464233,0.505
LUV,12,16,2,1,1.64615797996521,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",33.12296414375305,0.46
LUV,12,16,2,1,1.6172878742218018,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",77.58523893356323,0.475
LUV,12,16,2,1,1.6242539882659912,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",78.14312100410461,0.47
LUV,12,16,2,2,1.6127820014953613,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",31.68935489654541,0.565
LUV,12,16,2,2,1.6430280208587646,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",32.06507992744446,0.525
LUV,12,16,2,2,1.6615760326385498,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",80.3110818862915,0.475
LUV,12,16,2,2,1.757601022720337,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",80.90658783912659,0.54
LUV,12,16,2,ALL,3.067384958267212,True,True,"(16, 16)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",50.3726601600647,0.495
LUV,12,16,2,ALL,3.193812131881714,True,True,"(16, 16)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",52.26687002182007,0.445
LUV,12,16,2,ALL,2.996595859527588,True,True,"(32, 32)",16,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",100.38025498390198,0.485
LUV,12,16,2,ALL,2.901087999343872,True,True,"(32, 32)",32,"{'gamma': 0.1, 'C': 0.1, 'kernel': 'linear'}",99.53574395179749,0.53
